Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
410,10/4/12,Necessary,American,1974/03/21,38.0,Homemaker,6000.0,4/2/99,Professional,Employer,13.0,1.0,Aries
411,10/6/02,Voluntary,American,1976/07/08,25.0,Nurse,5500.0,12/7/96,Professional,Establishment,5.0,1.0,Cancer
412,10/6/08,Necessary,American,1973/09/01,35.0,Employer,13000.0,22/10/94,Professional,Employer,13.0,3.0,Virgo
413,10/6/08,Necessary,American,2071/12/08,36.0,Homemaker,85000.0,18/9/99,High School,Employer,5.0,1.0,Sagittarius
414,10/6/09,Necessary,American,2070/12/12,38.0,Employer,7000.0,20/12/96,Professional,Employer,9.0,2.0,Sagittarius
415,10/6/10,Necessary,American,2068/03/26,42.0,Homemaker,7500.0,6/7/89,Professional,Employer,21.0,1.0,Aries
416,10/7/00,Voluntary,American,1974/08/12,25.0,Homemaker,6000.0,6/11/92,High School,Employer,1.0,1.0,Leo
417,10/7/00,Voluntary,American,2070/11/19,29.0,Homemaker,2400.0,7/5/90,High School,Employer,2.0,2.0,Scorpio
418,10/7/01,Voluntary,American,2069/04/29,32.0,Architect,2000.0,22/4/95,Professional,Works from Home,6.0,1.0,Taurus
419,10/7/02,Voluntary,American,2059/12/12,42.0,Homemaker,4000.0,28/3/87,Professional,Employer,15.0,1.0,Sagittarius
420,10/7/03,Necessary,American,2065/10/20,37.0,Homemaker,10000.0,13/11/92,Professional,Employer,7.0,1.0,Libra
421,10/7/06,Necessary,American,2071/09/16,34.0,Homemaker,10000.0,23/12/99,High School,Employer,6.0,1.0,Virgo
422,10/7/09,Necessary,American,1976/04/17,33.0,Doctor,3000.0,20/1/01,Professional,Employer,6.0,1.0,Aries
423,10/7/13,Necessary,American,2069/03/21,44.0,Psychologist,6000.0,21/12/90,Professional,Employer,22.0,2.0,Aries
424,10/8/01,Voluntary,American,1976/12/03,25.0,Homemaker,1400.0,17/11/95,Secondary School,Employer,5.0,1.0,Sagittarius
425,10/8/06,Voluntary,American,2060/06/22,46.0,Homemaker,2100.0,17/12/81,High School,Employer,16.0,3.0,Cancer
426,10/8/11,Necessary,American,1980/09/06,31.0,Homemaker,5000.0,18/7/98,High School,Employer,12.0,2.0,Virgo
427,10/9/01,Voluntary,American,2053/10/18,47.0,Homemaker,10000.0,5/7/80,Professional,Employer,21.0,3.0,Libra
428,10/9/03,Voluntary,American,2064/09/14,38.0,Engineer,12000.0,20/8/93,Secondary School,Works from Home,10.0,3.0,Virgo
429,10/9/03,Voluntary,American,1974/05/07,29.0,Homemaker,2500.0,7/8/98,Professional,Employer,5.0,1.0,Taurus
430,10/9/04,Voluntary,American,2062/04/12,41.0,Homemaker,6000.0,18/2/89,High School,Employer,2.0,2.0,Aries
431,10/9/08,Necessary,American,2052/01/20,56.0,Dentist,8000.0,14/1/78,Professional,Employer,30.0,2.0,Aquarius
432,10/10/00,Voluntary,American,2063/04/18,37.0,Dentist,5000.0,30/12/83,Professional,Employer,16.0,3.0,Aries
433,10/10/01,Voluntary,American,2072/05/02,29.0,Researcher,8000.0,20/4/95,Professional,Employer,6.0,1.0,Taurus
434,10/10/11,Necessary,American,2065/04/03,46.0,Secretary,9000.0,10/1/90,Professional,Employer,21.0,3.0,Aries
435,10/11/00,Voluntary,American,1973/11/27,26.0,Homemaker,1000.0,28/7/95,Primary School,Employer,5.0,1.0,Sagittarius
436,10/11/09,Necessary,American,1979/08/02,30.0,Homemaker,3000.0,13/2/07,Professional,Employer,2.0,1.0,Leo
437,10/12/03,Voluntary,American,2068/02/12,35.0,Homemaker,5000.0,19/4/90,High School,Employer,13.0,2.0,Aquarius
438,10/12/04,Voluntary,American,2071/05/09,33.0,Homemaker,3000.0,28/7/94,Professional,Employer,16.0,2.0,Taurus
439,10/12/07,Necessary,American,1976/03/13,31.0,Homemaker,2000.0,9/3/96,Professional,Employer,7.0,1.0,Pisces
440,10/12/08,Necessary,American,1976/12/28,31.0,Beauty Therapist,19000.0,20/12/02,Professional,Employer,4.0,1.0,Capricorn
441,10/12/08,Necessary,American,2071/12/10,37.0,Cook,30000.0,21/4/01,Professional,Employer,6.0,1.0,Sagittarius
442,10/12/09,Necessary,American,2072/03/03,37.0,Homemaker,6647.0,4/1/93,Professional,Employer,16.0,2.0,Pisces
443,10/12/13,Voluntary,American,2069/04/09,44.0,Merchant,6000.0,28/7/88,Professional,Employer,25.0,3.0,Aries
444,11/1/12,Necessary,American,2057/03/19,54.0,Dentist,11000.0,6/12/80,Professional,Employer,30.0,3.0,Pisces
445,11/1/12,Necessary,American,1985/04/15,26.0,Homemaker,6000.0,25/10/07,Professional,Employer,4.0,1.0,Aries
446,11/2/03,Voluntary,American,2066/04/20,36.0,Homemaker,2000.0,20/7/90,Professional,Employer,12.0,2.0,Taurus
447,11/2/10,Necessary,American,1973/01/11,36.0,Homemaker,6000.0,3/7/95,High School,Employer,9.0,1.0,Capricorn
448,11/2/10,Necessary,American,2062/04/19,47.0,Graphic Designer,22000.0,6/10/84,Professional,Employer,22.0,1.0,Aries
449,11/2/11,Necessary,American,2070/09/16,40.0,Homemaker,15000.0,9/2/96,Professional,Employer,14.0,2.0,Virgo
450,11/2/14,Necessary,American,1977/07/08,36.0,Homemaker,6000.0,6/8/04,Professional,Employer,7.0,1.0,Cancer
451,11/3/08,Necessary,American,2069/02/16,39.0,Dentist,2800.0,12/5/86,Professional,Employer,15.0,1.0,Aquarius
452,11/3/11,Necessary,American,2070/08/22,40.0,Homemaker,10000.0,19/1/90,High School,Employer,20.0,1.0,Leo
453,11/3/13,Necessary,American,2064/10/03,49.0,Dentist,8000.0,14/11/90,Professional,Employer,22.0,2.0,Libra
454,11/4/01,Voluntary,American,2064/06/05,36.0,Homemaker,3200.0,17/8/81,Primary School,Employer,20.0,2.0,Gemini
455,11/4/01,Voluntary,American,2058/10/15,42.0,Journalist,4000.0,6/5/77,Professional,Employer,23.0,3.0,Libra
456,11/4/03,Voluntary,American,2063/01/15,40.0,Homemaker,12000.0,25/4/87,Professional,Employer,15.0,3.0,Capricorn
457,11/4/06,Necessary,American,2060/08/02,46.0,Secretary,6000.0,6/11/89,Professional,Employer,16.0,3.0,Leo
458,11/4/06,Necessary,American,1973/04/14,32.0,Homemaker,20000.0,4/10/97,Professional,Employer,9.0,1.0,Aries
459,11/4/08,Necessary,American,1984/05/29,23.0,Homemaker,4000.0,25/10/02,Professional,Employer,5.0,2.0,Gemini
460,11/4/08,Necessary,American,2065/11/20,42.0,Employer,3000.0,25/5/85,Secondary School,Employer,7.0,2.0,Scorpio
461,11/4/11,Necessary,American,1984/11/01,27.0,Homemaker,3500.0,9/11/07,Professional,Employer,4.0,1.0,Scorpio
462,11/4/14,Voluntary,American,2062/10/04,52.0,Merchant,12500.0,25/6/83,Professional,Employer,30.0,2.0,Libra
463,11/5/00,Voluntary,American,2063/07/25,36.0,Accountant,1500.0,2/6/86,High School,Establishment,13.0,1.0,Leo
464,11/5/04,Voluntary,American,1975/05/13,25.0,Homemaker,3000.0,7/3/01,Professional,Employer,3.0,2.0,Taurus
465,11/5/10,Necessary,American,2071/10/30,38.0,Homemaker,5000.0,25/1/99,Professional,Employer,11.0,1.0,Scorpio
466,11/5/10,Necessary,American,2063/03/23,47.0,Homemaker,12000.0,14/7/83,High School,Employer,26.0,3.0,Aries
467,11/5/11,Necessary,American,1975/01/11,35.0,Secretary,5000.0,8/5/98,Professional,Employer,5.0,2.0,Capricorn
468,11/5/12,Necessary,American,2065/02/28,47.0,Homemaker,18000.0,28/7/89,Professional,Employer,23.0,2.0,Pisces
469,11/6/01,Voluntary,American,2071/11/12,29.0,Teacher,5500.0,19/12/91,Professional,Employer,19.0,1.0,Scorpio
470,11/6/03,Voluntary,American,1976/03/25,27.0,Homemaker,1000.0,12/9/96,Secondary School,Unemployed,6.0,1.0,Aries
471,11/6/03,Voluntary,American,2070/03/22,33.0,Homemaker,2000.0,17/1/92,Secondary School,Employer,10.0,3.0,Aries
472,11/6/03,Voluntary,American,2063/04/22,40.0,Homemaker,1600.0,18/1/82,High School,Employer,11.0,2.0,Taurus
473,11/6/04,Voluntary,American,2071/02/12,32.0,Dentist,16000.0,4/9/93,Professional,Employer,10.0,2.0,Aquarius
474,11/6/08,Necessary,American,1984/08/12,23.0,Accountant,2000.0,2/2/04,Secondary School,Employer,4.0,1.0,Leo
475,11/6/08,Necessary,American,1975/03/20,33.0,Psychologist,4500.0,20/4/02,Professional,Employer,6.0,1.0,Pisces
476,11/6/09,Necessary,American,2055/04/30,54.0,Secretary,4000.0,26/2/77,Professional,Employer,18.0,2.0,Taurus
477,11/7/01,Voluntary,American,2067/06/18,34.0,Promoter,4000.0,26/11/92,Secondary School,Establishment,8.0,1.0,Gemini
478,11/7/11,Necessary,American,1973/11/10,37.0,Cashier,8000.0,31/10/00,Professional,Employer,11.0,1.0,Scorpio
479,11/8/00,Voluntary,American,2053/08/23,46.0,Architect,4000.0,20/6/73,High School,Self-Employed Worker in the Street,27.0,2.0,Virgo
480,11/8/06,Necessary,American,1975/11/26,30.0,Psychologist,6000.0,31/10/96,Professional,Employer,8.0,1.0,Sagittarius
481,11/8/11,Necessary,American,1981/02/07,30.0,Homemaker,6000.0,20/10/00,High School,Employer,10.0,2.0,Aquarius
482,11/8/11,Necessary,American,1973/05/14,38.0,Homemaker,4500.0,23/4/03,Secondary School,Employer,3.0,1.0,Taurus
483,11/9/03,Voluntary,American,1979/05/20,24.0,Homemaker,44000.0,1/12/00,Professional,Employer,3.0,1.0,Taurus
484,11/9/08,Necessary,American,1978/12/07,30.0,Homemaker,2600.0,3/10/97,High School,Employer,10.0,1.0,Sagittarius
485,11/9/09,Necessary,American,2070/03/14,39.0,Dentist,10000.0,10/7/93,Professional,Employer,15.0,1.0,Pisces
486,11/10/00,Voluntary,American,2063/03/15,37.0,Homemaker,2200.0,11/12/82,Secondary School,Employer,17.0,3.0,Pisces
487,11/10/02,Voluntary,American,2065/04/26,37.0,Homemaker,3000.0,11/8/89,High School,Employer,13.0,2.0,Taurus
488,11/11/03,Voluntary,American,2062/03/29,41.0,Homemaker,1700.0,29/1/77,Secondary School,Employer,26.0,2.0,Aries
489,11/11/04,Voluntary,American,1973/09/04,31.0,Homemaker,6000.0,4/7/90,Professional,Employer,14.0,1.0,Virgo
490,11/11/04,Voluntary,American,2071/09/12,32.0,Publicist,6638.0,12/1/95,Professional,Employer,9.0,2.0,Virgo
491,11/11/04,Voluntary,American,2070/03/24,34.0,Dentist,3000.0,6/11/98,Professional,Employer,6.0,1.0,Aries
492,11/11/04,Voluntary,American,2070/12/16,33.0,Body Therapist,4000.0,25/3/00,Professional,Employer,4.0,1.0,Sagittarius
493,11/11/05,Voluntary,American,2057/08/07,48.0,Homemaker,5000.0,22/3/75,Professional,Employer,30.0,2.0,Leo
494,11/11/08,Necessary,American,1975/12/19,32.0,Homemaker,3000.0,17/6/96,Secondary School,Employer,12.0,2.0,Sagittarius
495,11/11/09,Necessary,American,2070/11/04,39.0,Accountant,2000.0,11/4/92,High School,Employer,17.0,1.0,Scorpio
496,11/11/09,Necessary,American,1982/10/20,27.0,Homemaker,10000.0,11/10/04,Professional,Employer,4.0,1.0,Libra
497,11/11/10,Necessary,American,2072/11/02,38.0,Homemaker,6000.0,19/2/90,High School,Employer,20.0,1.0,Scorpio
498,11/12/00,Voluntary,American,2060/02/22,40.0,Secretary,4000.0,14/12/90,Professional,Employer,10.0,2.0,Pisces
499,11/12/02,Voluntary,American,2059/01/30,43.0,Homemaker,2500.0,26/2/82,Professional,Employer,20.0,2.0,Aquarius
500,11/12/06,Necessary,American,1978/11/22,28.0,Homemaker,5000.0,27/4/01,Professional,Employer,5.0,1.0,Sagittarius
501,11/12/06,Necessary,American,2071/07/11,35.0,Homemaker,7000.0,18/11/95,Professional,Employer,11.0,1.0,Cancer
502,11/12/07,Necessary,American,2068/03/22,39.0,Doctor,6000.0,31/7/98,Professional,Employer,9.0,3.0,Aries
503,11/12/07,Necessary,American,1978/01/09,29.0,Homemaker,3000.0,14/9/90,Secondary School,Employer,12.0,2.0,Capricorn
504,11/12/08,Necessary,American,1973/10/26,35.0,Teacher,9000.0,8/2/03,Professional,Employer,5.0,1.0,Scorpio
505,11/12/08,Necessary,American,2068/01/24,40.0,Architect,6000.0,23/1/87,Professional,Establishment,21.0,1.0,Aquarius
506,11/12/09,Necessary,American,2069/04/21,40.0,Homemaker,4000.0,20/8/96,Secondary School,Employer,13.0,2.0,Taurus
507,11/12/09,Necessary,American,2059/08/08,50.0,Homemaker,5000.0,25/3/93,Secondary School,Employer,16.0,1.0,Leo
508,12/1/05,Necessary,American,2071/02/13,33.0,Chemical Engineer,4000.0,17/1/01,Secondary School,Employer,3.0,1.0,Aquarius
509,12/1/12,Necessary,American,1981/07/14,30.0,Homemaker,10000.0,25/11/05,Professional,Employer,6.0,1.0,Cancer
510,12/2/09,Necessary,American,1973/01/07,35.0,Homemaker,10000.0,2/5/02,Professional,Employer,6.0,1.0,Capricorn
511,12/3/08,Necessary,American,2070/05/25,37.0,Architect,1500.0,9/5/91,Secondary School,Establishment,16.0,1.0,Gemini
512,12/3/09,Necessary,American,2072/01/25,37.0,Dentist,7000.0,22/12/97,Professional,Employer,11.0,1.0,Aquarius
513,12/3/10,Necessary,American,1980/09/02,30.0,Homemaker,3000.0,3/5/00,High School,Employer,9.0,2.0,Virgo
514,12/3/12,Necessary,American,2069/12/02,43.0,Doctor,12000.0,19/9/94,Professional,Employer,19.0,2.0,Sagittarius
515,12/3/12,Necessary,American,2067/07/31,44.0,Homemaker,14000.0,8/10/92,Professional,Employer,19.0,2.0,Leo
516,12/3/13,Necessary,American,1982/06/29,30.0,Homemaker,7000.0,9/2/04,Professional,Employer,7.0,1.0,Cancer
517,12/4/04,Voluntary,American,2057/11/22,46.0,Architect,10000.0,28/5/82,Secondary School,Establishment,21.0,2.0,Sagittarius
518,12/4/06,Necessary,American,2070/11/20,35.0,Homemaker,3000.0,26/10/90,High School,Employer,10.0,3.0,Scorpio
519,12/4/07,Necessary,American,2071/08/20,35.0,Homemaker,7000.0,9/12/95,Professional,Employer,17.0,2.0,Leo
520,12/4/12,Necessary,American,1985/12/11,26.0,Homemaker,4500.0,16/1/04,Professional,Employer,8.0,1.0,Sagittarius
521,12/5/00,Necessary,American,2052/10/14,47.0,Dentist,5000.0,18/12/86,Professional,Employer,13.0,2.0,Libra
522,12/5/06,Necessary,American,1975/10/04,31.0,Dentist,4000.0,16/8/97,High School,Employer,6.0,1.0,Libra
523,12/5/08,Necessary,American,2060/03/30,48.0,Architect,9000.0,14/8/81,High School,Employer,27.0,3.0,Aries
524,12/5/08,Necessary,American,2065/02/22,43.0,Homemaker,1400.0,15/1/87,Primary School,Employer,19.0,3.0,Pisces
525,12/5/09,Voluntary,American,2045/12/14,63.0,Secretary,14000.0,3/7/74,Professional,Employer,35.0,3.0,Sagittarius
526,12/5/11,Necessary,American,2071/04/01,40.0,Architect,5000.0,12/2/99,Secondary School,Employer,12.0,1.0,Aries
527,12/5/11,Necessary,American,2072/12/22,38.0,Teacher,6500.0,23/7/04,Professional,Unemployed,3.0,1.0,Capricorn
528,12/5/11,Necessary,American,1973/08/10,37.0,Accountant,2000.0,20/4/96,High School,Employer,14.0,1.0,Leo
529,12/6/00,Voluntary,American,2060/04/07,39.0,Data Entry Operator,3500.0,22/7/78,Professional,Establishment,20.0,2.0,Aries
530,12/6/12,Voluntary,American,2065/07/28,46.0,Homemaker,12000.0,17/12/84,Professional,Employer,27.0,1.0,Leo
531,12/6/12,Necessary,American,1976/11/16,35.0,Homemaker,5000.0,11/8/99,Professional,Employer,12.0,2.0,Scorpio
532,12/6/12,Necessary,American,1981/05/08,30.0,Doctor,5000.0,28/7/99,Professional,Employer,11.0,1.0,Taurus
533,12/6/13,Necessary,American,1985/04/19,28.0,Law Graduate,20000.0,11/3/11,Professional,Employer,1.0,2.0,Aries
534,12/7/02,Voluntary,American,2065/04/28,37.0,Homemaker,13000.0,17/12/94,Professional,Employer,7.0,1.0,Taurus
535,12/7/06,Necessary,American,2069/02/23,37.0,Homemaker,3000.0,28/4/92,Professional,Employer,14.0,2.0,Pisces
536,12/7/07,Necessary,American,2070/09/27,36.0,Secretary,7000.0,11/7/92,Professional,Employer,15.0,2.0,Libra
537,12/7/11,Necessary,American,1983/09/29,27.0,Homemaker,3000.0,12/9/03,High School,Employer,7.0,1.0,Libra
538,12/9/02,Voluntary,American,2057/04/29,45.0,Homemaker,2000.0,9/1/78,Professional,Employer,22.0,2.0,Taurus
539,12/9/06,Necessary,American,2058/04/26,48.0,Homemaker,14000.0,24/12/83,Professional,Employer,23.0,1.0,Taurus
540,12/9/12,Necessary,American,2056/04/06,56.0,Architect,10000.0,31/3/79,Professional,Employer,33.0,3.0,Aries
541,12/9/13,Necessary,American,1986/12/10,26.0,Psychologist,7000.0,27/6/06,Professional,Employer,6.0,1.0,Sagittarius
542,12/9/14,Voluntary,American,2066/04/17,48.0,Journalist,5000.0,14/6/90,High School,Employer,24.0,2.0,Aries
543,12/11/07,Necessary,American,2062/08/30,45.0,Homemaker,15000.0,19/12/93,Professional,Employer,14.0,2.0,Virgo
544,12/11/08,Necessary,American,1974/08/28,34.0,Doctor,5000.0,3/4/96,Professional,Employer,12.0,2.0,Virgo
545,12/12/14,Voluntary,American,2047/03/15,67.0,Housewife,15000.0,15/7/72,Professional,Employer,42.0,2.0,Pisces
546,13/1/11,Necessary,American,2069/08/31,41.0,Homemaker,7000.0,19/11/88,Secondary School,Employer,18.0,3.0,Virgo
547,13/2/02,Voluntary,American,2061/01/31,41.0,Architect,3000.0,18/1/86,Professional,Establishment,16.0,3.0,Aquarius
548,13/2/04,Voluntary,American,2059/04/18,44.0,Employer,1800.0,15/8/90,Primary School,Employer,13.0,3.0,Aries
549,13/2/08,Necessary,American,2071/05/03,36.0,Homemaker,8000.0,21/5/98,Professional,Employer,10.0,1.0,Taurus
550,13/2/09,Necessary,American,2072/07/26,36.0,Doctor,5000.0,4/6/94,Professional,Employer,12.0,1.0,Leo
551,13/2/12,Necessary,American,1979/10/05,32.0,Doctor,4000.0,15/10/05,Professional,Employer,7.0,2.0,Libra
552,13/2/12,Necessary,American,2057/12/24,54.0,Homemaker,4000.0,14/3/87,High School,Employer,24.0,2.0,Capricorn
553,13/2/14,Necessary,American,1982/05/16,31.0,Homemaker,3000.0,29/6/07,High School,Employer,2.0,1.0,Taurus
554,13/3/08,Necessary,American,2071/09/17,36.0,Employer,10000.0,13/11/98,Professional,Employer,9.0,1.0,Virgo
555,13/3/12,Necessary,American,1985/11/09,26.0,Communicologist,2000.0,8/3/07,High School,Employer,4.0,1.0,Scorpio
556,13/3/13,Necessary,American,2062/04/04,50.0,Dentist,15000.0,20/3/01,Professional,Employer,11.0,1.0,Aries
557,13/4/05,Voluntary,American,1974/03/10,30.0,Seamstress,12000.0,21/9/94,Professional,Employer,10.0,2.0,Pisces
558,13/4/09,Necessary,American,2057/12/04,52.0,Homemaker,10151.0,4/12/82,Professional,Employer,26.0,2.0,Sagittarius
559,13/4/11,Necessary,American,2072/09/21,38.0,Accountant,5000.0,10/7/92,Professional,Employer,18.0,2.0,Virgo
560,13/4/11,Necessary,American,1976/06/14,34.0,Pedagogue,6000.0,26/5/00,Professional,Employer,11.0,1.0,Gemini
561,13/4/11,Necessary,American,2065/06/03,46.0,Secretary,15000.0,6/10/89,Professional,Employer,21.0,2.0,Gemini
562,13/5/11,Necessary,American,1977/02/25,34.0,Cook,10000.0,18/11/98,Professional,Employer,12.0,1.0,Pisces
563,13/6/03,Voluntary,American,2070/02/09,32.0,Homemaker,6400.0,13/11/95,Professional,Employer,7.0,1.0,Aquarius
564,13/6/06,Necessary,American,2067/03/22,39.0,Homemaker,3000.0,20/6/91,Primary School,Employer,15.0,2.0,Aries
565,13/6/07,Voluntary,American,1973/10/09,33.0,Homemaker,4000.0,9/8/96,Professional,Employer,10.0,1.0,Libra
566,13/6/08,Necessary,American,2068/09/15,39.0,Homemaker,4000.0,16/11/96,Professional,Employer,11.0,2.0,Virgo
567,13/6/12,Necessary,American,1984/02/20,28.0,Merchant,20000.0,21/12/07,Professional,Employer,4.0,1.0,Pisces
568,13/7/04,Voluntary,American,1978/07/05,26.0,Dentist,4800.0,30/9/99,Professional,Employer,4.0,2.0,Cancer
569,13/7/04,Voluntary,American,2060/10/07,44.0,Homemaker,1400.0,4/5/00,High School,Employer,4.0,1.0,Libra
570,13/7/06,Necessary,American,2069/03/22,37.0,Homemaker,6000.0,24/4/99,Professional,Employer,6.0,1.0,Aries
571,13/7/09,Necessary,American,2066/06/14,43.0,Homemaker,6000.0,18/10/86,Professional,Employer,21.0,3.0,Gemini
572,13/7/09,Necessary,American,2063/11/20,45.0,Dentist,5000.0,8/9/93,Professional,Employer,15.0,2.0,Scorpio
573,13/7/09,Necessary,American,2055/06/01,54.0,Homemaker,3200.0,14/8/90,High School,Employer,17.0,1.0,Gemini
574,13/7/10,Necessary,American,1982/05/14,28.0,Homemaker,3000.0,13/2/08,Professional,Employer,2.0,1.0,Taurus
575,13/7/10,Necessary,American,1973/11/22,36.0,Homemaker,4000.0,30/12/96,Professional,Employer,13.0,2.0,Sagittarius
576,13/7/11,Necessary,American,2064/06/12,46.0,Architect,10000.0,6/12/04,Professional,Employer,7.0,2.0,Gemini
577,13/7/12,Necessary,American,2067/05/08,44.0,Graphic Designer,30000.0,14/1/03,Worker,Employer,9.0,2.0,Taurus
578,13/7/12,Necessary,American,1984/12/05,28.0,Merchant,6000.0,7/2/04,Professional,Employer,8.0,1.0,Sagittarius
579,13/8/03,Voluntary,American,2060/04/17,43.0,Homemaker,1200.0,26/12/85,Primary School,Employer,17.0,2.0,Aries
580,13/8/04,Voluntary,American,1978/03/26,26.0,Dentist,4000.0,28/12/00,Professional,Employer,3.0,1.0,Aries
581,13/8/08,Necessary,American,1979/11/17,28.0,Dentist,6500.0,16/4/03,Professional,Employer,5.0,1.0,Scorpio
582,13/8/09,Necessary,American,1980/05/29,29.0,Employer,4000.0,14/1/06,High School,Employer,3.0,1.0,Gemini
583,13/10/00,Voluntary,American,2056/09/28,44.0,Homemaker,1400.0,19/3/74,Primary School,Employer,26.0,4.0,Libra
584,13/10/00,Voluntary,American,2069/01/25,31.0,Secretary,3000.0,21/2/92,Professional,Employer,8.0,1.0,Aquarius
585,13/10/04,Voluntary,American,2072/07/12,31.0,Farmer,12000.0,24/3/01,Professional,Employer,1.0,1.0,Cancer
586,13/10/04,Voluntary,American,2063/12/16,40.0,Seamstress,13569.0,28/12/85,Professional,Employer,19.0,1.0,Sagittarius
587,13/11/00,Voluntary,American,2071/05/09,29.0,Homemaker,3000.0,29/2/92,Professional,Employer,8.0,2.0,Taurus
588,13/11/00,Voluntary,American,2066/12/25,33.0,Teacher,1500.0,6/10/93,Secondary School,Employer,7.0,1.0,Capricorn
589,13/11/02,Voluntary,American,2068/08/22,34.0,Homemaker,3000.0,1/8/91,High School,Employer,11.0,1.0,Leo
590,13/11/12,Necessary,American,1979/06/13,33.0,Homemaker,3000.0,7/9/98,High School,Employer,14.0,1.0,Gemini
591,13/11/13,Necessary,American,2068/07/16,45.0,Homemaker,3000.0,7/12/87,Primary School,Employer,27.0,3.0,Cancer
592,13/12/02,Voluntary,American,1973/12/17,28.0,Homemaker,2500.0,20/12/93,High School,Employer,8.0,1.0,Sagittarius
593,13/12/02,Voluntary,American,2052/03/31,50.0,Professor,12000.0,22/7/88,Professional,Unemployed,13.0,2.0,Aries
594,13/12/05,Necessary,American,2071/12/06,34.0,Homemaker,12000.0,4/8/86,Professional,Employer,19.0,3.0,Sagittarius
595,13/12/06,Necessary,American,2059/05/21,47.0,Homemaker,7000.0,3/2/87,High School,Employer,17.0,3.0,Gemini
596,13/12/07,Necessary,American,1986/02/14,21.0,Homemaker,4200.0,9/6/03,Professional,Employer,4.0,1.0,Aquarius
597,13/12/10,Necessary,American,2068/09/08,42.0,Secretary,5000.0,18/9/92,Professional,Employer,16.0,4.0,Virgo
598,13/12/12,Necessary,American,1976/11/02,36.0,Dentist,8500.0,9/5/03,Professional,Employer,9.0,1.0,Scorpio
599,14/2/03,Voluntary,American,2069/08/02,34.0,Homemaker,4000.0,2/3/91,Professional,Employer,11.0,1.0,Leo
600,14/2/11,Necessary,American,2072/01/11,38.0,Employer,10000.0,9/4/05,Professional,Employer,5.0,1.0,Capricorn
601,14/2/12,Necessary,American,2068/05/25,43.0,Secretary,18000.0,28/7/89,Professional,Employer,20.0,2.0,Gemini
602,14/2/14,Necessary,American,1983/11/18,30.0,Homemaker,3500.0,30/3/06,Professional,Employer,7.0,1.0,Scorpio
603,14/3/02,Voluntary,American,1973/09/25,28.0,Employer,8000.0,27/3/99,Professional,Employer,2.0,1.0,Libra
604,14/3/03,Voluntary,American,2050/08/03,53.0,Homemaker,3000.0,13/5/72,Professional,Employer,30.0,2.0,Leo
605,14/3/07,Necessary,American,2064/01/02,43.0,Nurse,1000.0,27/1/01,Professional,Employer,6.0,1.0,Capricorn
606,14/3/08,Necessary,American,1975/11/22,32.0,Homemaker,3400.0,8/5/02,Secondary School,Employer,5.0,1.0,Sagittarius
607,14/3/11,Necessary,American,2070/08/19,40.0,Homemaker,6000.0,6/12/90,Professional,Employer,20.0,2.0,Leo
608,14/3/13,Necessary,American,1985/12/26,27.0,Homemaker,4000.0,10/3/06,High School,Employer,7.0,2.0,Capricorn
609,14/4/00,Necessary,American,2066/03/18,34.0,Homemaker,3000.0,22/10/93,High School,Employer,1.0,1.0,Pisces
610,14/4/04,Voluntary,American,1977/09/26,26.0,Homemaker,3500.0,27/10/97,Professional,Employer,6.0,2.0,Libra
611,14/4/09,Necessary,American,1987/09/13,21.0,Homemaker,2000.0,20/2/04,High School,Employer,5.0,1.0,Virgo
612,14/4/10,Necessary,American,2068/02/28,42.0,Homemaker,16000.0,18/5/98,Professional,Employer,11.0,1.0,Pisces
613,14/4/10,Necessary,American,2070/04/26,39.0,Homemaker,3600.0,20/2/91,Professional,Employer,16.0,3.0,Taurus
614,14/4/11,Necessary,American,2072/11/27,38.0,Homemaker,2500.0,8/1/94,High School,Employer,17.0,2.0,Sagittarius
615,14/5/01,Voluntary,American,2067/03/14,34.0,Homemaker,2000.0,19/6/90,High School,Employer,10.0,3.0,Pisces
616,14/5/04,Voluntary,American,2063/06/21,40.0,Dentist,1500.0,14/8/98,Professional,Employer,5.0,1.0,Cancer
617,14/5/09,Necessary,American,2066/03/26,43.0,Homemaker,5000.0,3/5/97,Professional,Employer,12.0,1.0,Aries
618,14/5/10,Necessary,American,1978/03/11,31.0,Agronomist,5000.0,17/2/97,Secondary School,Employer,13.0,1.0,Pisces
619,14/6/00,Voluntary,American,2069/05/24,31.0,Swimming Instructor,4000.0,20/9/91,Professional,Employer,8.0,1.0,Gemini
620,14/6/02,Voluntary,American,2060/09/15,41.0,Homemaker,5000.0,19/3/94,Professional,Employer,8.0,1.0,Virgo
621,14/6/02,Voluntary,American,2062/12/12,39.0,Homemaker,30000.0,3/12/84,Professional,Employer,17.0,1.0,Sagittarius
622,14/6/06,Necessary,American,2071/08/24,34.0,Homemaker,4800.0,13/1/92,High School,Employer,14.0,1.0,Virgo
623,14/6/11,Necessary,American,1977/07/14,33.0,Graduate,10000.0,31/5/03,Professional,Employer,8.0,1.0,Cancer
624,14/6/11,Necessary,American,2068/06/04,43.0,Cashier,14000.0,21/11/97,Professional,Employer,14.0,2.0,Gemini
625,14/7/03,Voluntary,American,1982/10/26,20.0,Homemaker,1200.0,23/11/98,Secondary School,Employer,4.0,1.0,Scorpio
