Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
259,6/7/01,Voluntary,American,2049/02/16,52.0,Secretary,2500.0,17/10/70,Professional,Employer,30.0,4.0,Aquarius
260,6/8/02,Voluntary,American,1973/08/03,29.0,Dentist,4400.0,9/8/91,Professional,Employer,10.0,2.0,Leo
261,6/8/14,Voluntary,American,2070/04/27,44.0,Homemaker,2800.0,9/5/90,Secondary School,Employer,24.0,1.0,Taurus
262,6/10/05,Necessary,American,2053/09/03,52.0,Dentist,10000.0,11/10/80,Professional,Employer,24.0,2.0,Virgo
263,6/10/08,Necessary,American,2057/11/07,51.0,Homemaker,2500.0,26/5/88,Professional,Employer,5.0,2.0,Scorpio
264,6/11/00,Voluntary,American,1973/01/20,27.0,Homemaker,3800.0,13/6/94,Secondary School,Employer,6.0,1.0,Aquarius
265,6/11/06,Necessary,American,2064/10/14,42.0,Dentist Surgeon,10000.0,7/5/82,Professional,Employer,24.0,2.0,Libra
266,6/11/07,Necessary,American,1974/11/07,33.0,Homemaker,65000.0,13/11/98,Professional,Employer,9.0,1.0,Scorpio
267,6/11/08,Necessary,American,1978/01/07,30.0,Homemaker,7000.0,15/3/99,Professional,Employer,2.0,2.0,Capricorn
268,6/12/00,Voluntary,American,2054/01/30,46.0,Homemaker,8500.0,2/1/81,Professional,Employer,19.0,3.0,Aquarius
269,6/12/00,Voluntary,American,2065/10/07,35.0,Homemaker,5000.0,29/12/93,Professional,Employer,6.0,1.0,Libra
270,6/12/02,Voluntary,American,2064/03/19,38.0,Homemaker,2600.0,30/11/84,Professional,Employer,7.0,2.0,Pisces
271,7/1/03,Voluntary,American,2067/07/27,35.0,Psychologist,4200.0,20/7/92,Professional,Employer,10.0,2.0,Leo
272,7/2/02,Voluntary,American,2069/10/31,32.0,Architect,2800.0,13/5/85,Primary School,Self-Employed Worker in the Street,16.0,4.0,Scorpio
273,7/2/06,Necessary,American,2066/09/02,39.0,Architect,2000.0,3/8/91,Professional,Employer,14.0,2.0,Virgo
274,7/2/13,Necessary,American,1974/05/29,38.0,Homemaker,10000.0,5/1/93,Professional,Employer,20.0,1.0,Gemini
275,7/2/14,Necessary,American,2071/03/10,42.0,Homemaker,8000.0,22/12/95,Professional,Employer,18.0,2.0,Pisces
276,7/3/01,Voluntary,American,2070/08/02,31.0,Homemaker,3000.0,3/12/90,High School,Employer,6.0,2.0,Leo
277,7/3/02,Voluntary,American,1973/04/12,28.0,Homemaker,5000.0,22/8/96,Professional,Employer,5.0,1.0,Aries
278,7/3/03,Voluntary,American,2061/05/02,42.0,Architect,6000.0,16/12/91,Professional,Establishment,11.0,2.0,Taurus
279,7/3/03,Voluntary,American,1973/12/26,29.0,Homemaker,1200.0,19/6/97,Secondary School,Employer,5.0,1.0,Capricorn
280,7/3/05,Necessary,American,2068/10/01,37.0,Homemaker,3000.0,30/4/88,Professional,Employer,16.0,3.0,Libra
281,7/3/08,Necessary,American,1974/06/27,33.0,Architect,6000.0,20/12/99,Secondary School,Employer,8.0,2.0,Cancer
282,7/4/04,Voluntary,American,2066/04/13,37.0,Architect,3500.0,17/6/86,Secondary School,Establishment,17.0,2.0,Aries
283,7/4/04,Voluntary,American,2058/02/13,46.0,Secretary,14000.0,18/10/80,Professional,Employer,23.0,2.0,Aquarius
284,7/4/04,Voluntary,American,1978/07/31,25.0,Homemaker,5000.0,20/2/99,Professional,Employer,5.0,2.0,Leo
285,7/4/06,Necessary,American,2060/05/30,45.0,Doctor,4000.0,15/8/80,Professional,Employer,25.0,3.0,Gemini
286,7/4/10,Necessary,American,2072/10/26,37.0,Teacher,50000.0,31/7/93,Professional,Employer,15.0,1.0,Scorpio
287,7/4/11,Necessary,American,1973/02/06,37.0,Dentist,4000.0,14/12/01,Professional,Employer,1.0,1.0,Aquarius
288,7/5/02,Voluntary,American,2061/12/20,40.0,Preschool Teacher,4000.0,26/9/81,Professional,Self-Employed Worker in the Street,20.0,1.0,Sagittarius
289,7/5/03,Voluntary,American,2071/10/02,32.0,Homemaker,2000.0,18/2/93,High School,Employer,10.0,1.0,Libra
290,7/5/04,Voluntary,American,1977/03/15,27.0,Cook,12000.0,24/5/97,Professional,Employer,6.0,1.0,Pisces
